date,traffic_total,traffic_mean_site,traffic_median_site,rain_mean_mm,rain_median_mm,rain_max_mm,gasoline_price_mean,real_gasoline_price_mean,diesel_price_mean,real_diesel_price_mean,traffic_total_index100,traffic_mean_site_index100,gasoline_price_mean_index100,real_gasoline_price_mean_index100,diesel_price_mean_index100,real_diesel_price_mean_index100,traffic_total_ma7,traffic_total_ma30,traffic_mean_site_ma7,traffic_mean_site_ma30,gasoline_price_mean_ma7,gasoline_price_mean_ma30,real_gasoline_price_mean_ma7,real_gasoline_price_mean_ma30,rain_mean_mm_ma7,rain_mean_mm_ma30
2011-02-16,660043.0,11380.051724137931,8654.5,0.0,0.0,0.0,11.86,15.079465988556894,10.67,13.566433566433568,175.83141529740212,172.79983917158486,101.89003436426117,100.64636706623583,103.09178743961354,101.833451572582,622333.5714285715,653819.0666666667,10856.664487236902,11197.927920585162,11.735714285714286,11.698666666666666,14.921442194169467,14.960000093830352,0.19802955665024632,1.0520344827586208
2011-02-17,673847.0,11618.051724137931,8664.5,0.0896551724137931,0.1,0.1,11.86,15.079465988556894,10.71,13.617291799109982,179.5087164077318,176.413738538633,101.89003436426117,100.64636706623583,103.47826086956522,102.215207717184,615851.0,651798.4333333333,10744.896014330498,11177.159644723093,11.757142857142856,11.700999999999999,14.948687675960402,14.956792350513316,0.012807881773399015,1.0546896551724136
2011-02-18,687297.0,11849.948275862069,9060.5,0.0,0.0,0.0,11.83,15.041322314049586,10.73,13.642720915448187,183.09171408477718,179.93496039366033,101.63230240549828,100.3917809775354,103.67149758454106,102.406085789485,612114.4285714285,650023.3333333334,10680.4723690103,11160.741253918497,11.777142857142858,11.701666666666664,14.974116792298608,14.951455040082335,0.012807881773399015,1.0546896551724136
2011-02-19,515381.0,8885.879310344828,7789.0,0.0,0.0,0.0,11.9,15.130324221233312,10.73,13.642720915448187,137.29434392515398,134.92720006437546,102.233676975945,100.9858151845031,103.67149758454106,102.406085789485,613286.1428571428,641961.9666666667,10632.53564711151,11036.258342041101,11.802857142857144,11.705333333333334,15.006811370447732,14.949942571187847,0.012807881773399015,1.0546896551724136
2011-02-20,464930.0,8016.0344827586205,6990.5,0.0,0.0,0.0,11.9,15.130324221233312,10.77,13.693579148124602,123.85450631886282,121.7190837961238,102.233676975945,100.9858151845031,104.05797101449275,102.78784193408698,617354.4285714285,632023.5666666667,10644.041871921183,10879.525047021943,11.828571428571427,11.709666666666665,15.039505948596856,14.949288213590394,0.012807881773399015,1.0546896551724136
2011-02-21,640357.0,11642.854545454546,9248.0,0.0,0.0,0.0,11.92,15.155753337571518,10.77,13.693579148124602,170.58718538882852,176.79035576660408,102.40549828178693,101.1555392436367,104.05797101449275,102.78784193408698,615811.7142857143,635393.6666666666,10703.474294670847,10968.03464298154,11.854285714285714,11.715333333333332,15.072200526745979,14.950339604501249,0.012807881773399015,1.0546896551724136
2011-02-22,688698.0,12521.781818181818,10446.0,0.5345454545454545,0.6,0.6,11.92,15.155753337571518,10.68,13.579148124602668,183.46493190972444,190.13638397916895,102.40549828178693,101.1555392436367,103.18840579710144,101.92889060873249,618650.4285714285,642754.4,10844.943125839678,11125.496259143158,11.884285714285713,11.721000000000002,15.110344201253293,14.951390995412105,0.08917151813703537,1.0628411703239289
2011-02-23,673541.0,12246.2,10058.0,0.0,0.0,0.0,11.92,15.155753337571518,10.7,13.604577240940875,179.42719988065554,185.9518253308612,102.40549828178693,101.1555392436367,103.38164251207729,102.11976868103349,620578.7142857143,641512.6333333333,10968.678593819974,11138.817370254266,11.892857142857142,11.728333333333332,15.121242393969665,14.954587664565548,0.08917151813703537,0.9965078369905956
2011-02-24,683573.0,12428.6,9966.0,0.0,0.0,0.0,12.01,15.270184361093452,10.74,13.655435473617292,182.09966327813652,188.7214692155233,103.17869415807559,101.91929750973799,103.768115942029,102.5015248256355,621968.1428571428,639758.3333333334,11084.471204657411,11144.102925809824,11.914285714285715,11.738,15.148487875760603,14.960740589872689,0.07636363636363637,0.9785078369905957
2011-02-25,702999.0,12781.8,10071.0,0.0,0.0,0.0,12.1,15.384615384615383,10.840000000000002,13.782581055308327,187.27463077808324,194.08461735183172,103.95189003436425,102.68305577583928,104.73429951690822,103.45591518714048,624211.2857142857,640152.8666666667,11217.592879534259,11172.942810867295,11.952857142857143,11.752,15.197529742984289,14.972424105224627,0.07636363636363637,0.9785078369905957
2011-02-26,509375.0,9261.363636363636,7715.0,0.0,0.0,0.0,12.14,15.435473617291796,10.88,13.833439287984742,135.6943822858726,140.6287234599043,104.29553264604812,103.02250389410649,105.12077294685992,103.83767133174247,623353.2857142857,633501.4333333333,11271.233497536945,11074.230794148381,11.987142857142857,11.772666666666668,15.241122513849787,14.9926677853754,0.07636363636363637,0.9785078369905957
2011-02-27,469518.0,8536.690909090908,6938.0,0.0,0.0,0.0,12.159999999999998,15.460902733630006,10.88,13.833439287984742,125.07672143724827,129.62496585314818,104.46735395189002,103.19222795324012,105.12077294685992,103.83767133174247,624008.7142857143,625749.3,11345.612987012986,10955.291755485894,12.024285714285714,11.794,15.288348015620741,15.013759102737444,0.07636363636363637,0.9785078369905957
2011-02-28,674487.0,12263.4,9537.0,0.0,0.0,0.0,12.159999999999998,15.460902733630006,10.92,13.884297520661155,179.67920849050572,186.21299789016047,104.46735395189002,103.19222795324012,105.5072463768116,104.21942747634445,628884.4285714285,631136.7333333333,11434.262337662338,11069.322330198536,12.058571428571428,11.813333333333333,15.331940786486241,15.03227608620838,0.07636363636363637,0.9785078369905957
2011-03-01,571264.0,11201.254901960785,8618.0,0.0,0.0,0.0,12.16,15.374889366544442,10.92,13.80705525350866,152.18123308398864,170.08490756445792,104.46735395189005,102.61814045419568,105.5072463768116,103.63962537633698,612108.1428571428,635005.9666666667,11245.615635345046,11181.095769459298,12.092857142857143,11.832666666666666,15.363245933482371,15.047925957443134,0.0,0.9785078369905957
2011-03-02,563787.0,11054.64705882353,8429.0,0.0,0.0,0.0,12.16,15.374889366544442,10.91,13.794411430016437,150.18940604820662,167.85874793623094,104.46735395189005,102.61814045419568,105.41062801932368,103.54471729449052,596429.0,630830.5333333333,11075.393786605551,11153.57825762698,12.127142857142857,11.850999999999999,15.394551080478506,15.062288661732333,0.0,0.9695423197492163
2011-03-03,575856.0,11291.29411764706,8826.0,0.0,0.0,0.0,12.2,15.425464660513338,10.98,13.882918194462004,153.40451377789145,171.45210363411397,104.81099656357387,102.95570012674236,106.08695652173914,104.20907386741575,581040.8571428572,626721.6666666666,10912.921517697989,11128.160475341652,12.154285714285711,11.868333333333334,15.41673398039563,15.081450685699009,0.0,0.954599791013584
2011-03-04,580346.0,11379.333333333334,8881.0,0.0,0.0,0.0,12.32,15.57719054242003,11.14,14.08521937033759,154.60062229610213,172.7889308015259,105.84192439862544,103.96837914438248,107.6328502415459,105.72760317695918,563519.0,622357.6666666666,10712.569136745607,11098.698023234372,12.185714285714285,11.887666666666666,15.444244717224866,15.103127327428755,0.0,0.9210365726227796
2011-03-05,428642.0,8404.745098039215,6973.0,0.0,0.0,0.0,12.32,15.57719054242003,11.16,14.110507017322043,114.18760522558233,127.62144113447435,105.84192439862544,103.96837914438248,107.82608695652173,105.91741934065213,551985.7142857143,611567.9333333333,10590.19505984212,10946.480331100047,12.21142857142857,11.908,15.464489992243186,15.126075424975413,0.0,0.5294273772204806
2011-03-06,385370.0,7556.274509803921,6689.0,0.0,0.0,0.0,12.34,15.602478189404476,11.16,14.110507017322043,102.6602092790316,114.73788095891769,106.01374570446735,104.13715898065581,107.82608695652173,105.91741934065213,539964.5714285715,599464.3333333334,10450.135574229691,10768.196377978567,12.237142857142857,11.93,15.484715057353824,15.151137899905127,0.0,0.4737951933124347
2011-03-07,535302.0,10496.117647058823,8093.0,0.0,0.0,0.0,12.34,15.602478189404476,11.18,14.135794664306486,142.60117639537114,159.37778538306188,106.01374570446735,104.13715898065581,108.01932367149757,106.10723550434503,520081.0,599295.9666666667,10197.666666666668,10807.519265064439,12.262857142857143,11.952,15.504940122464461,15.176200374834842,0.0,0.2151745036572623
2011-03-08,551644.0,10816.549019607843,8294.0,1.6941176470588237,1.8,1.8,12.37,15.640409659881149,11.18,14.135794664306486,146.9545851714511,164.24335989750415,106.27147766323021,104.39032873506584,108.01932367149757,106.10723550434503,517278.14285714284,601316.9666666667,10142.708683473391,10885.878945028377,12.292857142857144,11.974333333333334,15.542871592941136,15.201679594902506,0.2420168067226891,0.2233692298235909
2011-03-09,552596.0,10835.21568627451,8504.0,5.811764705882354,6.2,6.2,12.39,15.665697306865598,11.18,14.135794664306486,147.20819214457728,164.5268029851158,106.44329896907216,104.55910857133918,108.01932367149757,106.10723550434503,515679.4285714286,597200.3666666667,10111.361344537816,10858.493031122585,12.325714285714286,11.997333333333334,15.584415584415584,15.228001736536317,1.0722689075630254,0.41709472001966935
2011-03-10,568198.0,11141.137254901962,8870.0,1.523529411764706,1.5,1.7,12.32,15.57719054242003,11.13,14.072575546845368,151.36446944994992,169.17205409112051,105.84192439862544,103.96837914438248,107.53623188405798,105.63269509511272,514585.4285714286,592322.8666666667,10089.910364145659,10819.218870653798,12.342857142857143,12.020000000000001,15.606090710402256,15.25391656432243,1.289915966386555,0.46787903374515954
2011-03-11,574586.0,11266.392156862745,8794.0,0.0,0.0,0.0,12.32,15.57719054242003,11.16,14.110507017322043,153.06619355113696,171.07398102774133,105.84192439862544,103.96837914438248,107.82608695652173,105.91741934065213,513762.5714285714,587597.6333333333,10073.775910364146,10783.073896572214,12.342857142857143,12.040333333333333,15.606090710402254,15.276864661869087,1.289915966386555,0.36799397627389513
2011-03-12,418342.0,8202.78431372549,6829.0,0.37647058823529417,0.4,0.4,12.34,15.602478189404476,11.16,14.110507017322043,111.44374826843979,124.55477747649151,106.01374570446735,104.13715898065581,107.82608695652173,105.91741934065213,512291.14285714284,577568.2,10044.9243697479,10643.152339213637,12.345714285714285,12.061333333333334,15.609703231400033,15.300655680981892,1.3436974789915967,0.3343360993300142
2011-03-13,364508.0,7147.21568627451,6247.0,3.717647058823529,3.8,3.8,12.34,15.602478189404476,11.18,14.135794664306486,97.10270016836094,108.52654724699163,106.01374570446735,104.13715898065581,108.01932367149757,106.10723550434503,509310.85714285716,565936.7,9986.487394957983,10471.362402319339,12.345714285714285,12.083,15.609703231400033,15.32529433730597,1.8747899159663868,0.45825766795746514
2011-03-14,542744.0,10642.039215686274,8236.0,0.0,0.0,0.0,12.36,15.627765836388926,11.18,14.135794664306486,144.58367964537646,161.5935243095384,106.18556701030928,104.30593881692917,108.01932367149757,106.10723550434503,510374.0,567122.2,10007.333333333332,10518.715830721003,12.348571428571429,12.104333333333333,15.613315752397812,15.349504459379286,1.8747899159663868,0.45825766795746514
